id,thickness_mm,settings_variant,dsp_found,dsp_coherence,dsp_round_trip_s,dsp_velocity,dsp_n_packets,dsp_warnings_count,dsp_noise_level,dsp_thickness_est_mm,max_abs_v,ptp_v,mean_v,std_v,rms_v,skew_v,kurt_v,energy_v,zcr,env_max,env_mean,env_std,env_auc,env_centroid_t,p1_t,p2_t,p3_t,delta_t_21,delta_t_32,amp_ratio_21,amp_ratio_32,autocorr_tau_s,autocorr_peak_val,autocorr_thickness_est_mm,dominant_freq_mhz,spectral_centroid_mhz,spectral_spread_mhz,band_0_2mhz,band_2_6mhz,band_6_12mhz,band_12_25mhz,gain,hp_val,lp_val,damping,prf,pulse_amp,averaging
20260820_154155_9eb6aab5,25.0,,1,0.9596510252363576,8.6688e-06,5759.45602607738,2,2,0.24281463725037444,24.879456,3.939698,7.23618,-0.09502440462705193,0.45348120518694107,0.4633301640650285,2.2314128052662032,29.49401320720554,1.0734085526371805e-05,0.0068157818949793605,4.442302298195704,0.33525357164558206,0.5549083724167032,1.676321498799374e-05,1.6295313363928992e-05,3.424e-07,2.128e-06,2.8384e-06,1.7856000000000003e-06,7.103999999999996e-07,0.9742896262827093,0.4120694513877298,1.7592e-06,0.4676330099366438,5.048904,1.039966721064926,1.5483243275221183,5.607354380088549,0.8722397660662837,0.12278966246014668,0.002270713767256987,0.0004677940912449338,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154157_c447a837,25.0,,1,0.9590003982126283,8.6688e-06,5765.138227056283,2,2,0.24242532335786635,24.879456,3.939698,7.23618,-0.09423327426322356,0.4531490776512615,0.46284338231690964,2.2353171110942114,29.64361124531009,1.0711542586122336e-05,0.00671978496688106,4.444413709514867,0.33467294169208944,0.5545751829162862,1.6734182561311177e-05,1.6308049230016053e-05,3.424e-07,2.128e-06,2.8552e-06,1.7856000000000003e-06,7.272e-07,0.983063386758739,0.403898658233433,1.7616e-06,0.4658458544345848,5.055792,1.039966721064926,1.542685829832193,5.54957609938566,0.8704184585399525,0.12480521534969867,0.0021689706711658617,0.0005053812236182327,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154158_58dcb98a,25.0,,1,0.9619421895693747,8.6688e-06,5762.816645843156,2,2,0.2426767733319798,24.879456,3.939698,7.316582,-0.09489319276183163,0.4533547116391892,0.4631794604664444,2.241051481820918,29.609945363008173,1.0727103886239484e-05,0.007391763463569166,4.42259707486638,0.33494824221516045,0.5548624163608677,1.6747948027945566e-05,1.6292857376520345e-05,3.424e-07,1.6288e-06,2.128e-06,1.2864e-06,4.992000000000002e-07,0.8018661681345528,1.2188758644156201,1.7592e-06,0.4676682049100055,5.048904,1.039966721064926,1.55845383646283,5.695225937675852,0.8707344631564226,0.12430855257690272,0.002222785830855575,0.0005210288892444434,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154158_1e9e316b,25.0,,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.23618,-0.09454586723624843,0.45297677233970907,0.4627384545191321,2.239904466338449,29.62449428019648,1.070668646754141e-05,0.006623788038782759,4.445828210525369,0.33479377328102744,0.5542812429286748,1.6740224334088624e-05,1.626220480522258e-05,3.4e-07,2.128e-06,2.8768e-06,1.7880000000000003e-06,7.487999999999999e-07,0.9737532370096299,0.40489910779551025,1.764e-06,0.4682775789999208,5.06268,1.039966721064926,1.549322456792902,5.595450155067686,0.871285428272733,0.1237672008466547,0.0022160274610249575,0.0005415760143009198,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154159_e2dde829,25.0,,1,0.9593051515245067,8.6688e-06,5767.616562315863,2,2,0.2426151935763085,24.879456,3.939698,7.316582,-0.09427186598828836,0.4532266355087813,0.4629271733777609,2.2466026564016603,29.762044287441327,1.0715421275084737e-05,0.00892771431314198,4.447486913140951,0.3344118791549806,0.5548723406980214,1.6721129016755678e-05,1.6248304580944478e-05,3.4e-07,2.128e-06,2.8864e-06,1.7880000000000003e-06,7.583999999999998e-07,0.9720232612868832,0.4081290293193545,1.7616e-06,0.4682766192386526,5.055792,1.039966721064926,1.5496038215763694,5.598474368378676,0.8708916170204432,0.12414705655148052,0.00224157850193051,0.0005233381487334171,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154200_7ff53b1a,25.0,,1,0.9611936286931442,8.6688e-06,5767.968496651112,2,2,0.24221196475133738,24.879456,3.939698,7.316582,-0.09424099260823653,0.45243959007655393,0.4621503514619737,2.2381098558033687,29.66881428086048,1.0679489100537061e-05,0.00892771431314198,4.442647063553867,0.33431425725863667,0.5536371335170867,1.671624776574345e-05,1.6311813435451108e-05,3.448e-07,2.128e-06,2.8528e-06,1.7832000000000001e-06,7.247999999999998e-07,0.9635294006856573,0.4085996673076542,1.7592e-06,0.467363078246301,5.048904,1.039966721064926,1.5460684990588571,5.571695310412551,0.8709943782086106,0.12415316711034444,0.0021826527647121215,0.0005173980022265361,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154200_de812c55,25.0,,1,0.9627685082302052,8.6688e-06,5765.324978949495,2,2,0.24279940106336673,24.879456,3.939698,7.316582,-0.09442237371604108,0.45293471512502304,0.4626720661803103,2.2312581298177236,29.634220514200194,1.070361454588319e-05,0.007583757319765768,4.416357287213347,0.3344206416141469,0.5544139968488772,1.6721567153733928e-05,1.6284903138590242e-05,3.424e-07,2.1304e-06,2.8768e-06,1.788e-06,7.464000000000002e-07,0.9770035744083716,0.41012998202934503,1.7616e-06,0.466834850879024,5.055792,1.039966721064926,1.5314597132610703,5.360378287151516,0.870689115866606,0.12460417926619015,0.002180266072582135,0.0004597022011443387,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154201_d048ea13,25.0,,1,0.9579417631536081,8.6688e-06,5761.315245294363,2,2,0.24305676828449052,24.879456,3.939698,7.316582,-0.09529454670250552,0.45316371543641526,0.46307494384750764,2.208779776667073,29.59498944505539,1.072226328241441e-05,0.008255735816453873,4.4248591493492535,0.3348471596862695,0.554680922427971,1.6742893739768973e-05,1.625386260527695e-05,3.376e-07,2.1256e-06,2.8696e-06,1.788e-06,7.44e-07,0.9780674575632048,0.4056311391985023,1.7616e-06,0.47094093345335925,5.055792,1.039966721064926,1.5478345426242441,5.576619209587241,0.870580007019915,0.12455009724298774,0.0022416380168910175,0.00048506035144169394,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154201_74610f3d,25.0,,1,0.9596985845720375,8.6688e-06,5759.794336871182,2,2,0.24285438672927723,24.879456,3.939698,7.316582,-0.09469251579149465,0.4529207917946916,0.4627136438304504,2.228769454560476,29.718628797880342,1.0705538375608543e-05,0.008831717385043679,4.438792849956555,0.33449548276267516,0.5543930099636557,1.672530933090618e-05,1.6280280142055397e-05,3.4e-07,2.1328e-06,2.86e-06,1.7928000000000002e-06,7.272e-07,0.9708114169118671,0.41132467060287314,1.7616e-06,0.46725521238026907,5.055792,1.039966721064926,1.5435909026195016,5.538310879676742,0.8701399802282375,0.12499811260511696,0.0022307071619202096,0.0005234721448008889,33.0,1.0,5.0,1.0,9.0,9.0,32.0
20260820_154202_c44622bd,25.0,,1,0.9629349044134291,8.6688e-06,5763.325260567546,2,2,0.24251648970424602,24.879456,3.939698,7.316582,-0.09555697043294614,0.45311393002649486,0.4630803042479546,2.22774955511412,29.64951295067518,1.0722511518508003e-05,0.007295766535470865,4.43111159026882,0.3349055594052878,0.5546138294498701,1.6745813819159438e-05,1.627225398703423e-05,3.448e-07,2.1304e-06,2.8552e-06,1.7856e-06,7.248000000000002e-07,0.9831778149120911,0.4043618269848253,1.7616e-06,0.4672957922245083,5.055792,1.039966721064926,1.5500865899535683,5.597714005766091,0.8704258148042867,0.12462636242606241,0.002264283847547678,0.0005232413343643176,33.0,1.0,5.0,1.0,9.0,9.0,32.0
