id,thickness_mm,settings_variant,dsp_found,dsp_coherence,dsp_round_trip_s,dsp_velocity,dsp_n_packets,dsp_warnings_count,dsp_noise_level,dsp_thickness_est_mm,max_abs_v,ptp_v,mean_v,std_v,rms_v,skew_v,kurt_v,energy_v,zcr,env_max,env_mean,env_std,env_auc,env_centroid_t,p1_t,p2_t,p3_t,delta_t_21,delta_t_32,amp_ratio_21,amp_ratio_32,autocorr_tau_s,autocorr_peak_val,autocorr_thickness_est_mm,dominant_freq_mhz,spectral_centroid_mhz,spectral_spread_mhz,band_0_2mhz,band_2_6mhz,band_6_12mhz,band_12_25mhz,gain,hp_val,lp_val,damping,prf,pulse_amp,averaging
20260820_161443_f56223db,15.0,hizli_prf_cakisma,1,0.9895796739771837,5.04e-06,5771.800071417912,4,1,0.16506679366095117,14.4648,3.939698,7.23618,-0.09426732489999999,0.2433088733070104,0.2609320531742488,2.653920729096179,85.3438712246172,1.36171072747458e-05,0.0173,4.416959583057615,0.18854263490907722,0.3028799749850505,3.770852698181544e-05,7.55189071014278e-05,4.6e-07,2.14e-06,3.11e-06,1.6799999999999998e-06,9.7e-07,1.0299953933260344,0.5835783872880167,1.34e-06,0.5841868241272178,3.8458000000000006,1.145,1.6741309222277458,3.351435966565783,0.9348775997671903,0.05203311240323659,0.004143204498802383,0.0036087644347859026,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161445_ab4ed63a,15.0,hizli_prf_cakisma,1,0.9891185284523815,5.04e-06,5770.903390159998,4,2,0.16706310019897436,14.4648,3.939698,7.316582,-0.09712561599999998,0.24651095857032104,0.264954784781551,2.509937119864767,82.09731269450396,1.40402075957276e-05,0.0153,4.34752257593361,0.1925757002251983,0.3064036947564104,3.8515140045039665e-05,7.526077163074181e-05,4.6e-07,2.14e-06,3.08e-06,1.6799999999999998e-06,9.400000000000003e-07,1.0078004332491302,0.6084848957446073,1.33e-06,0.5808681872673662,3.8171,1.145,1.67981531262496,3.3648600377578965,0.9367780071030368,0.0502959589498988,0.003964466953849974,0.0036173264917464068,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161446_60516774,15.0,hizli_prf_cakisma,1,0.9877942195085977,5.04e-06,5779.142668063539,3,2,0.173747473002335,14.4648,3.939698,7.316582,-0.0958472242,0.24687862671278885,0.26483154403212167,2.5097544108237515,81.86810378463169,1.402714934288752e-05,0.016,4.400925734978277,0.1916567025126769,0.30716847335133113,3.8331340502535384e-05,7.489766678492473e-05,4.6e-07,2.14e-06,3.08e-06,1.6799999999999998e-06,9.400000000000003e-07,0.9964908184256159,0.5995299930210302,1.33e-06,0.5795903111880928,3.8171,1.145,1.682428741509204,3.3789854105571755,0.9370039814905345,0.049895645937741366,0.004021969056656472,0.003678880351993436,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161446_acec365a,15.0,hizli_prf_cakisma,1,0.9891973138488711,5.04e-06,5768.719620820771,4,2,0.16685954077068024,14.4648,3.939698,7.316582,-0.0946532545,0.2467834898912527,0.2643129385224034,2.4958766296814345,81.65216839833218,1.397226589406956e-05,0.0161,4.3773821335098075,0.19094895088416783,0.3070861211175969,3.818979017683357e-05,7.476875124962514e-05,4.6e-07,2.14e-06,3.11e-06,1.6799999999999998e-06,9.7e-07,0.9855067842332734,0.6127372198358791,1.32e-06,0.5794001364242424,3.7884,1.145,1.6769681905770335,3.347617048596917,0.9369020738371217,0.05021052290226266,0.0039302087919296375,0.003609494792789419,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161447_ccc6b724,15.0,hizli_prf_cakisma,1,0.9870955349107057,5.04e-06,5769.96836847072,3,2,0.17401330850515445,14.4648,3.939698,7.316582,-0.09480601829999999,0.24760885953632245,0.2651383194236137,2.4508830239018633,80.75856815897696,1.405966568535564e-05,0.0176,4.372369522348284,0.19181197815252257,0.30792309467721934,3.8362395630504516e-05,7.464433603136438e-05,4.7e-07,2.14e-06,3.06e-06,1.6699999999999999e-06,9.200000000000001e-07,0.9937622970061848,0.6040361108741237,1.32e-06,0.5805575439672916,3.7884,1.145,1.6725087953993254,3.3164022932197037,0.9373939389648508,0.04964974717164041,0.004029245381137917,0.0036606839348133522,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161450_aa7908ef,10.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.537688,6.83417,-0.094633154,0.25984865380412014,0.2765443123982144,1.4555666279217119,54.35020425875253,1.529535134396024e-05,0.0048,4.201878458542416,0.19315267476066866,0.3266345368585785,3.863053495213373e-05,6.855445229615044e-05,4.6e-07,1.72e-06,2.22e-06,1.26e-06,4.999999999999999e-07,0.8421504670421907,1.0099786790616427,1.8000000000000001e-06,0.5545457378143647,5.166,1.15,1.5237489637314,3.1371602436049253,0.9358761022815895,0.05352470276983601,0.0028269143810636106,0.002932162405038005,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161453_02c2bb31,10.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.537688,6.83417,-0.09480199819999999,0.2597908335595573,0.2765478187660904,1.484700187676959,54.7341556626231,1.5295739212856476e-05,0.0053,4.336679345940612,0.19324686473670458,0.32653576524817757,3.864937294734092e-05,6.849831052207663e-05,4.6e-07,2.21e-06,2.92e-06,1.75e-06,7.1e-07,0.841325863236461,0.5549293347151727,1.8000000000000001e-06,0.5532968959202903,5.166,1.15,1.5273002594139016,3.1406460303284223,0.9353768650373092,0.05376579916655369,0.0028424312702718542,0.0031877546455851605,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161453_9b8081e9,10.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.537688,6.83417,-0.0942472244,0.2599192496059398,0.2764788520354112,1.495174612667379,55.10590751609625,1.528811112456376e-05,0.0053,4.337808539647983,0.1926906665506429,0.32690793074368973,3.8538133310128584e-05,6.878442062619513e-05,4.6e-07,2.21e-06,2.9e-06,1.75e-06,6.900000000000002e-07,0.8383574625783806,0.5424966233867512,1.8000000000000001e-06,0.5523668651730528,5.166,1.15,1.5232663344458743,3.1019473738960315,0.9345012822025837,0.05468784943494653,0.0029215404679388593,0.003190902032926913,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161454_7f978bb4,10.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.537688,6.914572,-0.09471757609999999,0.26005974633675955,0.276771549995658,1.4673599207528782,54.98747277537924,1.5320498177399804e-05,0.0056,4.299306049575001,0.1933430070373542,0.32688222905771513,3.866860140747084e-05,6.8885056214199e-05,4.6e-07,2.22e-06,2.89e-06,1.7599999999999999e-06,6.699999999999999e-07,0.8515357113860963,0.5477507171437213,1.8000000000000001e-06,0.5519837814182228,5.166,1.15,1.524431886194025,3.1304754125385914,0.9345327702057535,0.05465517124800972,0.002927414267304346,0.003151631265572132,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161455_6239bb7f,10.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.537688,6.83417,-0.09471355599999999,0.2599437320761477,0.2766611673795967,1.4924270950825183,54.9546895103418,1.530828030716824e-05,0.0054,4.226876958848646,0.19321675172811406,0.32677119449364234,3.8643350345622815e-05,6.8639503447526e-05,4.6e-07,1.71e-06,2.22e-06,1.2499999999999999e-06,5.1e-07,0.84716059992962,1.0271695164934347,1.8000000000000001e-06,0.5522526459888109,5.166,1.15,1.5141584309951366,3.0657650693822838,0.9350357512626599,0.05457197403468083,0.00280311660698636,0.00300867618807043,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161458_11cd895b,5.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.316582,-0.09470953589999999,0.2500616440294849,0.26739618921204206,2.2471384088765105,72.5888399390442,1.4300144401024441e-05,0.0052,4.381570897897837,0.18399466218788382,0.31650831160384807,3.6798932437576765e-05,6.665424157288644e-05,-5e-08,4.6e-07,2.17e-06,5.1e-07,1.71e-06,2.155324500194536,1.0238699543629495,1.76e-06,0.6475973563389665,5.051200000000001,1.16,1.57235198908964,3.2188383355007275,0.9381683736092729,0.05012991976972202,0.003533108639431753,0.003249450715625928,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161501_c9c1c0fe,5.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.316582,-0.09314571699999999,0.25100466196074667,0.2677302092059706,2.2067787453491436,71.59895879446354,1.4335892984294561e-05,0.0046,4.408635932441549,0.18363129864273633,0.31774573378983223,3.6726259728547264e-05,6.664457958829033e-05,-7e-08,4.6e-07,2.17e-06,5.3e-07,1.71e-06,2.149681621607687,1.0388350014553414,1.76e-06,0.6483071814174184,5.051200000000001,1.16,1.5590184575082269,3.173576188975775,0.9391797711503569,0.049571127016807465,0.003320770067177129,0.0030319740793072285,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161501_be6846d3,5.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.316582,-0.0933788828,0.2515227222417185,0.2682970286023697,2.2197826991378067,71.11423738128006,1.439665911137216e-05,0.0044,4.418380291699456,0.1839571835837377,0.3184442271912246,3.6791436716747543e-05,6.649799649201897e-05,4.6e-07,2.17e-06,2.91e-06,1.71e-06,7.400000000000001e-07,1.0526964269346764,0.4061047561853949,1.77e-06,0.6477351854146101,5.0799,1.16,1.5456764549260542,3.107007830544918,0.9399583434691532,0.048962919926182465,0.003397414850156408,0.0030841518446611273,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161502_c70c16ab,5.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.23618,-0.09394169679999997,0.25146991834962384,0.26844396479047467,2.2406910212335647,71.60761770111144,1.441243244648592e-05,0.0052,4.455941003003122,0.18475514985344824,0.3180641605169378,3.6951029970689646e-05,6.6531728647121e-05,4.6e-07,2.17e-06,2.89e-06,1.71e-06,7.199999999999999e-07,1.0688092737589683,0.4107824312838085,1.76e-06,0.6500616107948402,5.051200000000001,1.16,1.556246997398146,3.1520346496972906,0.9387385869368466,0.05004095461557706,0.0034609727594052766,0.0030559384218409673,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161503_082ddb35,5.0,hizli_prf_cakisma,0,0.0,0.0,0.0,0,0,0.0,0.0,3.939698,7.23618,-0.09299295319999999,0.25137009196623095,0.26801979867160713,2.226218604278938,71.1887565030902,1.436692249599376e-05,0.0048,4.4444832648859345,0.1837344415430504,0.31821874498687724,3.6746888308610084e-05,6.621336671569325e-05,-7e-08,4.6e-07,2.17e-06,5.3e-07,1.71e-06,2.1518860511606643,1.0439596063563141,1.77e-06,0.6527015225177736,5.0799,1.16,1.552878245412122,3.1263792457260093,0.9393034445715392,0.04934437153125907,0.003544502387140282,0.0031378309656551026,33.0,1.0,5.0,1.0,1.0,9.0,32.0
